ID,Category,Description,Level,Event_Log,Event_Source
1,Application Crashes,EMET,Warning,Application,EMET
2,Software and Service Installation,Update Packages Installed,Informational,Setup,Microsoft-Windows-Servicing
6,Software and Service Installation,New Kernel Filter Driver,Informational,System,Microsoft-Windows-FilterManager
19,Software and Service Installation,Windows Update Installed,Informational,System,Microsoft-Windodws-WindowsUpdateClient
104,Clearing Event Logs,Event Log was Cleared,Informational,System,Microsoft-Windows-Eventlog
219,Kernel Driver Signing,Failed Kernel Driver Loading,Warning,System,Microsoft-Windows-Kernel-PnP
856,Application Whitelisting,SRP Block,Warning,Application,Microsoft-Windows-SoftwareRestrictionPolicies
866,Application Whitelisting,SRP Block,Warning,Application,Microsoft-Windows-SoftwareRestrictionPolicies
867,Application Whitelisting,SRP Block,Warning,Application,Microsoft-Windows-SoftwareRestrictionPolicies
868,Application Whitelisting,SRP Block,Warning,Application,Microsoft-Windows-SoftwareRestrictionPolicies
882,Application Whitelisting,SRP Block,Warning,Application,Microsoft-Windows-SoftwareRestrictionPolicies
1000,Application Crashes,App Error,Error,Application,Application Error
1001,Application Crashes,WER,Informational,Application,Windows Error Reporting
1002,Application Crashes,App Hang,Error,Application,Application Hang
1009,Windows Update Errors,Hotpatching Failed,Informational,Setup,Microsoft-Windows-Servicing
1022,Software and Service Installation,New MSI File Installed,Informational,Application,MsiInstaller
1023,Software and Service Installation,New MSI File Installed,Informational,Application,MsiInstaller
1102,Clearing Event Logs,Audit Log was Cleared,Informational,Security,Microsoft-Windows-Eventlog
1125,Group Policy Errors,Internal Error,Error,System,Microsoft-Windows-Group-Policy
1127,Group Policy Errors,Generic Internal Error,Error,System,Microsoft-Windows-Group-Policy
1129,Group Policy Errors,Group Policy Application Failed due to Connectivity,Error,System,Microsoft-Windows-Group-Policy
4624,Account Usage,Successful User Account Login,Informational,Security,Microsoft-Windows-Security-Auditing
4625,Account Usage,Failed User Account Login,Informational,Security,Microsoft-Windows-Security-Auditing
4634,An Account was logged off,An Account was logged off,Information,Security,Microsoft-Windows-Security-Auditing
4648,Account Usage,Account Login with Explicit Credentials,Informational,Security,Microsoft-Windows-Security-Auditing
4728,Account Usage,User Added to Privileged Group,Informational,Security,Microsoft-Windows-Security-Auditing
4732,Account Usage,User Added to Privileged Group,Informational,Security,Microsoft-Windows-Security-Auditing
4735,Account Usage,Security-Enabled group Modification,Informational,Security,Microsoft-Windows-Security-Auditing
4740,Account Usage,Account Lockouts,Informational,Security,Microsoft-Windows-Security-Auditing
4756,Account Usage,User Added to Privileged Group,Informational,Security,Microsoft-Windows-Security-Auditing
5038,Kernel Driver Signing,Detected an invalid image hash of a file,Informational,Security,Microsoft-Windows-Security-Auditing
6281,Kernel Driver Signing,Detected an invalid page hash of an image file,Informational,Security,Microsoft-Windows-Security-Auditing
7022,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7023,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7024,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7026,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7031,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7032,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7034,System or Service Failures,Windows Service Fails or Crashes,Error,System,Service Control Manager
7045,Software and Service Installation,New Windows Service,Informational,System,Service Control Manager
903,Software and Service Installation,New Application Installation,Informational,Microsoft-Windows-Application-Experience/Program-Inventory,Microsoft-Windows-Application-Experience
